dimension,vertices,max_bit_length,epsilon,time_mosp,time_fptas,eval_mosp,eval_fptas
10,1000,450,0.4,947,19,41341899652542643605998252540697538973240120323974708127594498348592755527270893287962897442380583808655035894638051655914232,41341899652542643605998252540697538973240120323974708127594498348592755527270893287962897442380583808655035894638051655914232
10,1000,450,0.4,938,23,276329251667357985893493725101566692593552499583998951197304992833112771453166084385674465357447289204280503739553259934570156499,276329251667357985893493725101566692593552499583998951197304992833112771453166084385674465357447289204280503739553259934570156499
10,1000,450,0.4,907,32,9485649031566607655005732469888935455143987281869436909952288018275144353330118576551853935924425360787009730996051974432778753505548,9485649031566607655005732469888935455143987281869436909952288018275144353330118576551853935924425360787009730996051974432778753505548
10,1000,450,0.4,915,40,216300820323935561865815227339388878104848411496296861083397049436830246587134399169952226489903017163086744300360089976315858810066870,216300820323935561865815227339388878104848411496296861083397049436830246587134399169952226489903017163086744300360089976315858810066870
10,1000,450,0.4,898,32,443958514577542949065965338873482796834534215300280423845902819091895399944875670654597319694181007992506804169158863201662063514803,443958514577542949065965338873482796834534215300280423845902819091895399944875670654597319694181007992506804169158863201662063514803
10,1000,450,0.4,878,19,5859232772021358049247421178127795228372123042345509351997920363898615706645972216830758826997951422194521072636391130995208503,5859232772021358049247421178127795228372123042345509351997920363898615706645972216830758826997951422194521072636391130995208503
10,1000,450,0.4,913,29,1817197100997434918502673354131517289575979573675483265312638155546141492684618798701811763823168175274714703302858743847238536208682,1817197100997434918502673354131517289575979573675483265312638155546141492684618798701811763823168175274714703302858743847238536208682
10,1000,450,0.4,884,21,1346334108588482361998853677823476023891590696991968235585143415558232239007284856838976829431784038253099401832948724059146666427,1346334108588482361998853677823476023891590696991968235585143415558232239007284856838976829431784038253099401832948724059146666427
10,1000,450,0.4,894,22,246141490281604426276015510943323979825818655240026048261294763008762983148977594741087346971917433670096540444456782980019,246141490281604426276015510943323979825818655240026048261294763008762983148977594741087346971917433670096540444456782980019
10,1000,450,0.4,949,64,667622623941304992746549612259020413978122322996378352429210082773447999863211080598370106827766902178325854489918764367764558479314678,667622623941304992746549612259020413978122322996378352429210082773447999863211080598370106827766902178325854489918764367764558479314678
10,1000,400,0.4,898,69,1288020966954600972846345734875985784746237447608543572250698322912008308936694554415276335118646084068108091554373733336,1288020966954600972846345734875985784746237447608543572250698322912008308936694554415276335118646084068108091554373733336
