dimension,vertices,ave_degree,epsilon,time_mosp,time_fptas,eval_mosp,eval_fptas
8, 1000, 4, 19.6, 965, 23, 79808165249260982372146720131312430657897437570287619901877786597795828741619998490146149004441813596106303469200452810613649056563288429471160525514025920864854388044176193087106348434680738558721385955024064988816991816800589212425546141124943593562608484158592897577035690, 79808165249260982372146720131312430657897437570287619901877786597795828741619998490146149004441813596106303469200452810613649056563288429471160525514025920864854388044176193087106348434680738558721385955024064988816991816800589212425546141124943593562608484158592897577035690
8, 1000, 4, 19.6, 527, 57, 2517891318803800774885240100465040183007785563515078299045683691394198327907975570457830762050364240221385552094526177209495015930819218145609817348388457825689852850800452695550157065208083789277042722187202924914099411790621025886371221746407676244768994312021391216572598925037001719593050070349785, 2517891318803800774885240100465040183007785563515078299045683691394198327907975570457830762050364240221385552094526177209495015930819218145609817348388457825689852850800452695550157065208083789277042722187202924914099411790621025886371221746407676244768994312021391216572598925037001719593050070349785
8, 1000, 4, 19.6, 518, 46, 9626819915702218599784516829968069714363127411503253777357784819889904763873242089965320744526696945801601607800435148401075070518096132497676228221139695635124649407623957904149616540041710564697515219896957028037908339051903982328092388977827991697080895847111924277138629982318606252187579501102263, 9626819915702218599784516829968069714363127411503253777357784819889904763873242089965320744526696945801601607800435148401075070518096132497676228221139695635124649407623957904149616540041710564697515219896957028037908339051903982328092388977827991697080895847111924277138629982318606252187579501102263
8, 1000, 4, 19.6, 614, 41, 2554926490453308773338464884257279244152449910928043904036216911227257733440652958484456690499334396571691732918245386096649851970460489366617953092014232331996973244891171512545592446213525114885748201925617233716473719633669578842688981090016173076516946518556040126477524830432150603174102540331616, 2554926490453308773338464884257279244152449910928043904036216911227257733440652958484456690499334396571691732918245386096649851970460489366617953092014232331996973244891171512545592446213525114885748201925617233716473719633669578842688981090016173076516946518556040126477524830432150603174102540331616
8, 1000, 4, 19.6, 406, 15, 200896779278137774409999010359846876232737815026508766760256961922523685204072266675420614285344043265249761953800779604341244919333798755325577010427960628210461018661325249490639637822772034301334445940722007695337789435746895033978496179633856120643308044236684226091567, 200896779278137774409999010359846876232737815026508766760256961922523685204072266675420614285344043265249761953800779604341244919333798755325577010427960628210461018661325249490639637822772034301334445940722007695337789435746895033978496179633856120643308044236684226091567
8, 1000, 4, 19.6, 439, 25, 9422782359080493181714080805240010362406096209412507100362031438105213978768424199444647823677260027431748392547072338670495036520381241663244458364044757913138174290885310011337754031918004677061417199566060538349393580050229931402316884385808956049172197460375288253128632673360002852277, 9422782359080493181714080805240010362406096209412507100362031438105213978768424199444647823677260027431748392547072338670495036520381241663244458364044757913138174290885310011337754031918004677061417199566060538349393580050229931402316884385808956049172197460375288253128632673360002852277
8, 1000, 4, 19.6, 510, 19, 8321716544628876728792611449086592345757597364842969768613822542331199560315348681117157065839577023229925019852707553541346696077335726870492607711702771473900606255911409174093677933174614040354668775980702369598360337629187736193028162155634370516951555112918509443114536159691, 8321716544628876728792611449086592345757597364842969768613822542331199560315348681117157065839577023229925019852707553541346696077335726870492607711702771473900606255911409174093677933174614040354668775980702369598360337629187736193028162155634370516951555112918509443114536159691
8, 1000, 4, 19.6, 508, 14, 621158732281225679602490741876485573758094419162974291338259306406509898246430305897097797216281481324602111328536055821412632991465652874829521883098949009125349121806495631483265463059318009284530269068496373627802518250672471604911127203458869269, 621158732281225679602490741876485573758094419162974291338259306406509898246430305897097797216281481324602111328536055821412632991465652874829521883098949009125349121806495631483265463059318009284530269068496373627802518250672471604911127203458869269
8, 1000, 4, 19.6, 613, 31, 512849219983125739935830836786430451037660555903131617582039529640625494876257497681687453875845832794147099769294279384932457356389307330043809611722508908490811811768924892505184657316946788346233237445237857585684235319590138557548251849177724815970485857143761142012663273736270864114100592, 512849219983125739935830836786430451037660555903131617582039529640625494876257497681687453875845832794147099769294279384932457356389307330043809611722508908490811811768924892505184657316946788346233237445237857585684235319590138557548251849177724815970485857143761142012663273736270864114100592
8, 1000, 4, 19.6, 805, 17, 5183165277996048301954150079008435539138991075221570366348153255748962072655103244194594256909327361477026832844650311752003513880374193509862766001708205259857396093453408823894308120033458373480614240374864015235893295788694357759619284012441332384530, 5183165277996048301954150079008435539138991075221570366348153255748962072655103244194594256909327361477026832844650311752003513880374193509862766001708205259857396093453408823894308120033458373480614240374864015235893295788694357759619284012441332384530
